country_or_area,commodity_transaction,year,quantity_GWh
Germany,Electricity - Consumption by machinery,2019,32933.0
Germany,Electricity - Consumption by machinery,2018,34020.0
Germany,Electricity - Consumption by machinery,2017,33908.0
Germany,Electricity - Consumption by mining and quarrying,2020,1737.0
Germany,Electricity - Consumption by mining and quarrying,2019,1789.0
Germany,Electricity - Consumption by mining and quarrying,2018,1774.0
Germany,Electricity - Consumption by mining and quarrying,2017,1768.0
Germany,Electricity - Consumption by food and tobacco,2020,18427.0
Germany,Electricity - Consumption by food and tobacco,2019,18677.0
Germany,Electricity - Consumption by food and tobacco,2018,18962.0
Germany,Electricity - Consumption by food and tobacco,2017,18639.0
Germany,"Electricity - Consumption by paper, pulp and print",2020,19233.0
Germany,"Electricity - Consumption by paper, pulp and print",2019,19788.0
Germany,"Electricity - Consumption by paper, pulp and print",2018,20856.0
Germany,"Electricity - Consumption by paper, pulp and print",2017,21406.0
Germany,Electricity - Consumption by wood and wood products,2020,4738.0
Germany,Electricity - Consumption by wood and wood products,2019,4565.0
Germany,Electricity - Consumption by wood and wood products,2018,4668.0
Germany,Electricity - Consumption by wood and wood products,2017,4817.0
Germany,Electricity - Consumption by construction,2020,4953.0
Germany,Electricity - Consumption by construction,2019,4818.0
Germany,Electricity - Consumption by construction,2018,4657.0
Germany,Electricity - Consumption by construction,2017,4136.0
Germany,Electricity - Consumption by textile and leather,2020,1752.0
Germany,Electricity - Consumption by textile and leather,2019,1946.0
Germany,Electricity - Consumption by textile and leather,2018,2132.0
Germany,Electricity - Consumption by textile and leather,2017,2178.0
Germany,Electricity - Consumption not elsewhere specified (industry),2020,16090.0
Germany,Electricity - Consumption not elsewhere specified (industry),2019,16936.0
Germany,Electricity - Consumption not elsewhere specified (industry),2018,17515.0
Germany,Electricity - Consumption not elsewhere specified (industry),2017,17653.0
Germany,Electricity - Consumption by transport,2020,11137.0
Germany,Electricity - Consumption by transport,2019,11605.0
Germany,Electricity - Consumption by transport,2018,12087.0
Germany,Electricity - Consumption by transport,2017,11957.0
Germany,Electricity - Consumption by road,2020,445.0
Germany,Electricity - Consumption by road,2019,336.0
Germany,Electricity - Consumption by road,2018,227.0
Germany,Electricity - Consumption by road,2017,157.0
Germany,Electricity - Consumption by rail,2020,10692.0
Germany,Electricity - Consumption by rail,2019,11269.0
Germany,Electricity - Consumption by rail,2018,11860.0
Germany,Electricity - Consumption by rail,2017,11800.0
Germany,Electricity - Consumption by other,2020,257588.0
Germany,Electricity - Consumption by other,2019,261643.0
